id,nome_usuario,titulo_midia,tipo_midia,estrelas,comentario,deleted
978,Leandro Castro,Breaking Bad,Série,2,Achei a premissa fraca.,False
979,Dr. Benjamin Caldeira,Vale Tudo,Novela,4,"Muito bom, gostei bastante.",False
980,Srta. Maria Liz Alves,Vale Tudo,Novela,1,"Péssimo, perdi meu tempo.",False
981,Sr. Rhavi Pacheco,Black Mirror,Série,1,"Péssimo, perdi meu tempo.",False
982,Murilo Sales,Demon Slayer,Anime,3,"Bom, mas nada de especial.",False
983,Maria Júlia Fonseca,Attack on Titan,Anime,1,Não recomendo de jeito nenhum.,False
984,Maria Sophia Sampaio,A Origem,Filme,4,"Muito bom, gostei bastante.",False
985,Yan Sales,Cidade de Deus,Filme,5,Sensacional!,False
986,Luana Carvalho,A Viagem de Chihiro,Filme,1,"Péssimo, perdi meu tempo.",False
987,Dr. Otávio Fonseca,Senhora do Destino,Novela,1,"Péssimo, perdi meu tempo.",False
988,Sra. Marina Albuquerque,Avenida Brasil,Novela,2,Não funcionou pra mim.,False
989,Eduardo da Mota,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
990,Luísa da Cruz,Vale Tudo,Novela,4,Ótima história e personagens.,False
991,Sr. Asafe Machado,Attack on Titan,Anime,5,"Incrível, assistiria de novo.",False
992,Rafael da Rocha,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
993,Dr. Theo Azevedo,O Senhor dos Anéis: O Retorno do Rei,Filme,2,"Esperava bem mais, foi uma decepção.",False
994,Sabrina Barbosa,Naruto,Anime,4,Ótima história e personagens.,False
995,Henrique Machado,Black Mirror,Série,1,Muito ruim.,False
996,Gustavo Henrique Mendonça,Dark,Série,4,Ótima história e personagens.,False
997,Sr. Luigi Sales,Death Note,Anime,3,Divertido para passar o tempo.,False
998,Esther da Mata,Game of Thrones,Série,1,Não recomendo de jeito nenhum.,False
999,Théo Leão,Batman: O Cavaleiro das Trevas,Filme,3,"É ok, mas não me marcou.",False
1000,Nathan Araújo,Cidade de Deus,Filme,1,Não recomendo de jeito nenhum.,False
